Name,Condition,Recommendations,Acrive Ingredients,Uses,
Micatin,Jock Itch/Antifungal Products,18936.24,Miconazole nitrate 2%, antifungal,"[""proven clinically effective in the treatment of most athlete's foot, jock itch and ringworm"", 'for effective relief of itching, scaling, burning and discomfort that can company these conditions']"
Lamisil,Jock Itch/Antifungal Products,369256.68,Terbinafine hydrochloride 1%, antifungal,"['cures most jock itch (tinea cruris)', 'relieves itching, burning, cracking and scaling which accompany this condition']"
Zeasorb,Jock Itch/Antifungal Products,37872.48,Miconazole nitrate 2%, antifungal,"[""for the cure of most athlete's foot"", 'for the cure of most jock itch']"
Fungi-Nail,Fungal Nail Management,284257.42,Undecylenic acid 25%, Antifungal,
Tineacide,Fungal Nail Management,49009.9,Miconazole Nitrate 2%, antifungal,"[""Cures most athlete's foot (tinea pedis)."", 'Cures most jock inch (tinea cruris) and ring worm (tinea corporis).', 'Relieves itching, burning, cracking, and scaling which accompany these conditions.']"
Lamisil,Athlete's Foot/Antifungal Products,335644.2,Terbinafine hydrochloride 1%, antifungal,"[""cures most athlete's foot (tinea pedis)"", 'cures most jock itch (tinea cruris) and ringworm (tinea corporis)', 'relieves itching, burning, cracking and scaling which accompany these conditions']"
Micatin,Athlete's Foot/Antifungal Products,7458.76,Miconazole nitrate 2%, antifungal,"[""proven clinically effective in the treatment of most athlete's foot, jock itch and ringworm"", 'for effective relief of itching, scaling, burning and discomfort that can company these conditions']"
Zeasorb,Athlete's Foot/Antifungal Products,29835.04,Miconazole nitrate 2%, antifungal,"[""for the cure of most athlete's foot"", 'for the cure of most jock itch']"
Mineral Ice,"Topical Analgesics, Arthritis/Joint Pain",9552.36,Menthol 2%, Topical analgesic,"['arthritis', 'simple backache', 'strains', 'bruises', 'sport injuries', 'sprains']"
Myoflex,"Topical Analgesics, Arthritis/Joint Pain",19104.72,Trolamine salicylate 10%, topical analgesic,
Aveeno,Topical Poison Ivy/Oak Remedies,51608.08,Colloidal oatmeal 100%,"['Poison ivy, oak or sumac', 'Insect bites', 'Rashes', 'Eczema']",
Domeboro,Topical Poison Ivy/Oak Remedies,25804.04,"In each packet:
Aluminum sulfate tetradecahydrate, 1347 mg; Astringent*
Calcium acetate monohydrate, 952 mg; Astringent*

*When combined together in water, these ingredients form the active ingredient aluminum acetate. See Directions.","['poison ivy', 'poison oak', 'poison sumac', 'insect bites', ""athlete's foot"", 'rashes caused by soaps, detergents, cosmetics, or jewelry']",
Arnicare,Homeopathic Topical Analgesics,320989.44,Arnica Montana 1X, Pain reliever,
BioRelief,Homeopathic Topical Analgesics,90278.28,Menthol 10.0%, Topical analgesic,
Neuragen,Homeopathic Topical Analgesics,35108.22,"Aconitum napellus 12C, Hypericum perforatum 12C, Lycopodium clavatum 12C, Phosphorus 12C, Rhus toxicodendron 12C, Secale cornutum 12C",,
Clean & Clear Advantage,Acne Products,4772.26,Benzoyl Peroxide 5%,,
Allegra Allergy,"Antihistamines, Oral",230777.01,Fexofenadine HCI 180 mg, antihistamine,"['runny nose', 'itchy, watery eyes', 'sneezing\xc2\xa0', 'itching of the nose or throat']"
Coricidin HBP Cold & Flu,Flu Products,224551.6,"In each tablet:
Acetaminophen 325 mg; pain reliever/fever reducer
Chlorpheniramine maleate 2 mgAntihistamine","['temporarily relieves\r\n\t\t\n\r\n\t\t\t\tminor aches and pains\n\r\n\t\t\t\theadache\n\r\n\t\t\t\tsneezing\n\r\n\t\t\t\trunny nose', 'minor aches and pains', 'headache', 'sneezing', 'runny nose', 'temporarily reduces fever']",
Mentholatum Ointment,"Topical Cough Suppressants, Ointments",78612.21,"Camphor 9%; Topical Analgesic

	Menthol, natural 1.3%; Topical Analgesic",,
Vicks VapoRub,"Topical Cough Suppressants, Ointments",794856.79,"Camphor 4.8%; Cough suppressant & topical analgesic
Eucalyptus oil 1.2%; Cough suppressant
Menthol 2.6%; Cough suppressant & topical analgesic","['on chest and throat, temporarily relieves cough due to common cold', 'on muscles and joints, temporarily relieves minor aches and pains']",
Robitussin,"Cough/Cold/Flu Combinations, Liquid Formulations",564842.52,"In each capsule
	Acetaminophen, USP 325 mg; Pain reliever/Fever reducer

	Dextromethorphan HBr, USP 10 mg; Cough suppressant

	Phenylephrine HCl, USP 5 mg; Nasal decongestant","['temporarily relieves these symptoms occurring with a cold or flu:\r\n\t\t\n\r\n\t\t\t\theadache\n\r\n\t\t\t\tnasal congestion\n\r\n\t\t\t\tsore throat\n\r\n\t\t\t\tcough\n\r\n\t\t\t\tminor aches and pains', 'headache', 'nasal congestion', 'sore throat', 'cough', 'minor aches and pains', 'temporarily reduces fever']",
TheraFlu,"Cough/Cold/Flu Combinations, Liquid Formulations",231071.94,"In each 15ml
Acetaminophen 325 mg; Pain reliever/ fever reducer
Guaifenesin 200 mg; Expectorant
Phenylephrine HCl 5 mg; Nasal decongestant","['minor aches and pains', 'headache', 'minor sore throat pain', 'nasal and sinus congestion', 'temporarily reduces fever', 'helps loosen phlegm (mucus) and thin bronchial secretions to drain bronchial tubes and make\xc2\xa0cough more productive\xc2\xa0']",
DayQuil,"Cough/Cold/Flu Combinations, Liquid Formulations",308095.92,"In each 15ml

	Acetaminophen 325 mg; Pain reliever/fever reducer

	Dextromethorphan HBr 10 mg; Cough suppressant

	Guaifenesin 200 mg; Expectorant

	Phenylephrine HCl 5 mg; Nasal decongestant","['temporarily relieves common cold/flu symptoms:\r\n\t\t\n\r\n\t\t\t\tnasal congestion\n\r\n\t\t\t\tsinus congestion & pressure\n\r\n\t\t\t\tcough due to minor throat & bronchial irritation\n\r\n\t\t\t\tminor aches & pains\n\r\n\t\t\t\theadache\n\r\n\t\t\t\tfever\n\r\n\t\t\t\tsore throat\n\r\n\t\t\t\treduces swelling of nasal passages\n\r\n\t\t\t\ttemporarily restores freer breathing through the nose\n\r\n\t\t\t\tpromotes nasal and/or sinus drainage\n\r\n\t\t\t\thelps loosen phlegm (mucus) and thin bronchial secretions to rid the bronchial passageways of bothersome mucus and make coughs more productive.', 'nasal congestion', 'sinus congestion & pressure', 'cough due to minor throat & bronchial irritation', 'minor aches & pains', 'headache', 'fever', 'sore throat', 'reduces swelling of nasal passages', 'temporarily restores freer breathing through the nose', 'promotes nasal and/or sinus drainage', 'helps loosen phlegm (mucus) and thin bronchial secretions to rid the bronchial passageways of bothersome mucus and make coughs more productive.']",
Sambucol Cold & Flu,"Cough/Cold/Flu Combinations, Daytime",60448.98,"Bryonia 6X, Gelsemium Sempervirens 6X, 12X, 30X, Sambucus Nigra 3X, 6X, Sulphur 12X, Zincum Gluconicum 2X, 6X",,
Fisherman's Friend,"Topical Cough Suppressants, Lozenges",96120,"In each lozenge:
Menthol 10 mg; Cough suppressant/oral anesthetic","['cough due to minor throat and bronchial irritation occurring with the common cold or inhaled irritants', 'occasional minor sore throat']",
Ricola,"Topical Cough Suppressants, Lozenges",208260,"In each drop:
	Menthol, 4.8 mg; Cough supressant/Oral pain reliever","['cough due to a cold or inhaled irritants', 'occasional minor irritation and pain due to sore throat or sore mouth']",
Cold-EEZE,Cold Remedies,318185.6,"In each lozenge:
Zincum Gluconicum 2x (13.3mg)","['to reduce the duration of the common cold', 'reduces the severity of cold symptoms: cough, sore throat, stuffy nose, sneezing, post nasal drip and/or hoarseness']",
Halls Defense,Cold Remedies,338072.2,"HALLS Defense® Vitamin C Supplement Drops:
Per drop:
Calories: 15
Sodium: 10 mg
Total Carbohydrate: 4 g
Sugars: 3 g
Vitamin C: 60 mg


	HALLS Defense® Harvest Cherry Supplement Drops:
	Per drop:
	Calories: 15
	Sodium: 10 mg
	Total Carbohydrate: 4 g
	Sugars: 3 g
	Vitamin C: 60 mg
	Zinc: 1.5 mg
	Standardized Echinacea Root Extract: 15 mg",,
Cold-EEZE,Zinc Cold Remedies,399340.32,"In each lozenge:
Zincum Gluconicum 2x (13.3mg)","['to reduce the duration of the common cold', 'reduces the severity of cold symptoms: cough, sore throat, stuffy nose, sneezing, post nasal drip and/or hoarseness']",
Zicam,Zinc Lozenges,295810.2,"Zincum Aceticum 2x; Reduces duration and severity of the common cold
Zincum Gluconicum 1x; Reduces duration and severity of the common cold","['reduces duration of the common cold', 'reduces severity of cold symptoms:\r\n\t\t\n\r\n\t\t\t\tsore throat\n\r\n\t\t\t\tstuffy nose\n\r\n\t\t\t\tsneezing\n\r\n\t\t\t\tcoughing\n\r\n\t\t\t\tcongestion', 'sore throat', 'stuffy nose', 'sneezing', 'coughing', 'congestion']",
Cold-eeze,Zinc Lozenges,419064.45,"In each lozenge:
Zincum Gluconicum 2x (13.3mg)","['to reduce the duration of the common cold', 'reduces the severity of cold symptoms: cough, sore throat, stuffy nose, sneezing, post nasal drip and/or hoarseness']",
TheraFlu,"Cough/Cold/Flu Combinations, Solid Formulations",202711.32,"In each packet
Acetaminophen, 650 mg; Pain reliever / fever reducer
Diphenhydramine HCl, 25 mg; Antihistamine / cough suppressant
Phenylephrine HCl, 10 mg; Nasal decongestant","['temporarily relieves these symptoms due to a cold:\r\n\t\t\n\r\n\t\t\t\tminor aches and pains\xc2\xa0\n\r\n\t\t\t\tminor sore throat pain\n\r\n\t\t\t\theadache\n\r\n\t\t\t\tnasal and sinus congestion\n\r\n\t\t\t\trunny nose\n\r\n\t\t\t\tsneezing\n\r\n\t\t\t\titchy nose or throat\n\r\n\t\t\t\titchy, watery eyes due to hay fever\n\r\n\t\t\t\tcough due to minor throat and bronchial irritation\xc2\xa0', 'minor aches and pains\xc2\xa0', 'minor sore throat pain', 'headache', 'nasal and sinus congestion', 'runny nose', 'sneezing', 'itchy nose or throat', 'itchy, watery eyes due to hay fever', 'cough due to minor throat and bronchial irritation\xc2\xa0', 'temporarily reduces fever']",
Contac Cold + Flu Day/Night,"Cough/Cold/Flu Combinations, Solid Formulations",28958.76,"In each caplet
Acetaminophen 500 mg; Pain reliever/fever reducer
Chlorpheniramine maleate 2mg; Antihistamine
Phenylephrine hydrochloride 5 mg; Nasal decongestant","['temporarily relieves these symptoms due to the common cold or flu:\r\n\t\t\n\r\n\t\t\t\tnasal congestion\n\r\n\t\t\t\theadache\n\r\n\t\t\t\tminor aches and pains\n\r\n\t\t\t\trunny nose\n\r\n\t\t\t\tsneezing\n\r\n\t\t\t\tsore throat', 'nasal congestion', 'headache', 'minor aches and pains', 'runny nose', 'sneezing', 'sore throat', 'temporarily reduces fever']",
DayQuil Cold and Flu,"Cough/Cold/Flu Combinations, Solid Formulations",781886.52,"In each 15ml

	Acetaminophen 325 mg; Pain reliever/fever reducer

	Dextromethorphan HBr 10 mg; Cough suppressant

	Guaifenesin 200 mg; Expectorant

	Phenylephrine HCl 5 mg; Nasal decongestant","['temporarily relieves common cold/flu symptoms:\r\n\t\t\n\r\n\t\t\t\tnasal congestion\n\r\n\t\t\t\tsinus congestion & pressure\n\r\n\t\t\t\tcough due to minor throat & bronchial irritation\n\r\n\t\t\t\tminor aches & pains\n\r\n\t\t\t\theadache\n\r\n\t\t\t\tfever\n\r\n\t\t\t\tsore throat\n\r\n\t\t\t\treduces swelling of nasal passages\n\r\n\t\t\t\ttemporarily restores freer breathing through the nose\n\r\n\t\t\t\tpromotes nasal and/or sinus drainage\n\r\n\t\t\t\thelps loosen phlegm (mucus) and thin bronchial secretions to rid the bronchial passageways of bothersome mucus and make coughs more productive.', 'nasal congestion', 'sinus congestion & pressure', 'cough due to minor throat & bronchial irritation', 'minor aches & pains', 'headache', 'fever', 'sore throat', 'reduces swelling of nasal passages', 'temporarily restores freer breathing through the nose', 'promotes nasal and/or sinus drainage', 'helps loosen phlegm (mucus) and thin bronchial secretions to rid the bronchial passageways of bothersome mucus and make coughs more productive.']",
Zyrtec-D,"Decongestants, Oral",204280,"In each tablet:
	Cetirizine HCl 5 mg; antihistamine
	Pseudoephedrine HCl 120 mg; nasal decongestant","['temporarily relieves these symptoms due to hay fever or other upper respiratory allergies:\r\n\t\t\n\r\n\t\t\t\trunny nose\n\r\n\t\t\t\tsneezing\n\r\n\t\t\t\titchy, watery eyes\n\r\n\t\t\t\titching of the nose or throat\n\r\n\t\t\t\tnasal congestion', 'runny nose', 'sneezing', 'itchy, watery eyes', 'itching of the nose or throat', 'nasal congestion', 'reduces swelling of nasal passages', 'temporarily relieves sinus congestion and pressure', 'temporarily restores freer breathing through the nose']",
Advil Sinus & Cold,"Decongestants, Oral",229815,"In each capsule:
Solubilized ibuprofen equal to 200 mg ibuprofen (NSAID)*; Pain reliever/fever reducer
Pseudoephedrine HCl 30 mg; Nasal decongestant
*nonsteroidal anti-inflammatory drug","['headache', 'fever', 'sinus pressure', 'nasal congestion', 'minor body aches and pains']",
Nexafed,"Decongestants, Oral",25535,"In each tablet:


		Pseudoephedrine HCl 30 mg; nasal decongestant

		 


	 ","['for the temporary relief of nasal congestion due to the common cold, hay fever or other upper respiratory allergies', 'helps decongest sinus openings and passages; temporarily relieves sinus congestion and pressure']",
Zyrtec-D,Sinus Products,251212.1,"In each tablet:
	Cetirizine HCl 5 mg; antihistamine
	Pseudoephedrine HCl 120 mg; nasal decongestant","['temporarily relieves these symptoms due to hay fever or other upper respiratory allergies:\r\n\t\t\n\r\n\t\t\t\trunny nose\n\r\n\t\t\t\tsneezing\n\r\n\t\t\t\titchy, watery eyes\n\r\n\t\t\t\titching of the nose or throat\n\r\n\t\t\t\tnasal congestion', 'runny nose', 'sneezing', 'itchy, watery eyes', 'itching of the nose or throat', 'nasal congestion', 'reduces swelling of nasal passages', 'temporarily relieves sinus congestion and pressure', 'temporarily restores freer breathing through the nose']",
Aleve-D Sinus & Cold,Sinus Products,50242.42,"In each caplet
					Naproxen sodium 220 mg (naproxen 200 mg) (NSAID)*; Pain reliever/fever reducer
					Pseudoephedrine HCl 120 mg, extended-release.; Nasal decongestant *nonsteroidal anti-inflammatory drug ","['sinus pressure', 'minor body aches and pains', 'headache', 'nasal and sinus congestion (promotes sinus drainage and restores freer breathing through the nose)\xc2\xa0', 'fever\xc2\xa0']",
Hyland's Complete,Homeopathic Flu Products,126228.02,"Eupatorium Perforatum 3X HPUS: relieves body aches, headaches with pressure in eyes

	Bryonia 3X HPUS: relieves body aches made better by wrapping up and sitting still

	Gelsemium Sempervirens 3X HPUS: relieves headache with pressure and feeling of band around head

	Euphrasia Officinalis 3X HPUS: for runny nose, cough, fever, chills

	Kali Iodatum 3X HPUS: relieves headache, runny nose, fever

	Anas Barbariae Hepatis Et Cordis Extractum 200C HPUS: relieves early onset flu symptoms

	“HPUS” indicates the active ingredients are in the official Homeopathic Pharmacopoeia of the United States.",,
Oscillococcinum,Homeopathic Flu Products,398614.8,Anas barbariae hepatis et cordis extractum 200 CK HPUS,,
NasalCrom,"Decongestants, Nasal (Spray)",81510.24,"Per spray:
	Cromolyn sodium 5.2mg; nasal allergy symptom controller

	 ","['runny/itchy nose', 'sneezing', 'allergic stuffy nose']",
Sinex Ultra Fine Mist,"Decongestants, Nasal (Spray)",30566.34,Oxymetazoline HCl 0.05%, nasal decongestant,"['colds', 'hay fever', 'upper respiratory allergies']"
Nexafed,"Decongestants, Oral (Abuse-deterrent)",370448.7,"In each tablet:


		Pseudoephedrine HCl 30 mg; nasal decongestant

		 


	 ","['for the temporary relief of nasal congestion due to the common cold, hay fever or other upper respiratory allergies', 'helps decongest sinus openings and passages; temporarily relieves sinus congestion and pressure']",
Zephrex-D,"Decongestants, Oral (Abuse-deterrent)",355921.3,"In each tablet:
Pseudoephedrine HCl 30 mg; nasal decongestant","['temporarily relieves nasal congestion due to the common cold, hay fever, or other upper respiratory allergies', 'temporarily relieves sinus congestion and pressure']",
Chestal,Homeopathic Cough Products,50979.28,"Antimonium tartaricum 6C; Helps loosen thick mucus
Bryonia alba 3C; Relieves dry and painful cough
Coccus cacti 3C; Relieves cough associated with a tickling in the throat
Drosera rotundifolia 3C; Relieves barking cough worse at night
Ipecacuanha 3C; Relieves cough associated with nausea
Pulsatilla 6C;  Relieves wet cough during the day becoming worse at night
Rumex crispus 6C; Relieves dry cough triggered by cold air
Spongia tosta 3C; Relieves dry, croupy and barking cough
Sticta pulmonaria 3C; Relieves nighttime hacking cough","['Temporary relieves cough due to minor throat and bronchial irritation as may occur with a cold.', 'Helps loosen phlegms (mucus) and thin bronchial secretions to make coughs more productive.']",
